<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.02.08	1.06795	1.07138	1.06402	1.06969	128190	108838152000	0
2017.02.09	1.06971	1.07092	1.06505	1.06541	122349	101099097000	0
2017.02.10	1.06552	1.06674	1.06072	1.06377	126662	114422901000	0
2017.02.13	1.06276	1.06581	1.05917	1.05972	111130	106744780000	0
2017.02.14	1.05948	1.06331	1.05607	1.05764	122216	103411342000	0
2017.02.15	1.05738	1.06090	1.05210	1.05991	129683	116084030000	7
2017.02.16	1.05980	1.06790	1.05906	1.06727	129206	116495545000	0
2017.02.17	1.06725	1.06762	1.06051	1.06056	117825	104770343000	0
2017.02.20	1.06069	1.06326	1.06029	1.06103	94749	85139246000	0
2017.02.21	1.06099	1.06149	1.05255	1.05349	114609	100725140000	7
2017.02.22	1.05345	1.05737	1.04933	1.05573	130425	109538608000	0
2017.02.23	1.05526	1.05949	1.05373	1.05804	114714	94768004000	0
2017.02.24	1.05778	1.06176	1.05513	1.05513	114958	100126715000	0
2017.02.27	1.05622	1.06304	1.05511	1.05851	112006	97471144000	0
2017.02.28	1.05851	1.06298	1.05680	1.05757	119666	105352358000	7
2017.03.01	1.05731	1.05890	1.05138	1.05459	145664	126835189000	7
2017.03.02	1.05457	1.05512	1.04946	1.05059	119742	104994477000	7
2017.03.03	1.05058	1.06236	1.05015	1.06166	132864	125473297000	0
2017.03.06	1.06033	1.06397	1.05745	1.05803	110065	104138602000	7
2017.03.07	1.05806	1.06022	1.05580	1.05655	101958	94807972000	7
2017.03.08	1.05635	1.05738	1.05345	1.05392	114282	107358534000	7
2017.03.09	1.05392	1.06151	1.05247	1.05756	140205	124504405000	7
2017.03.10	1.05737	1.06988	1.05721	1.06712	133854	119181762000	7
2017.03.13	1.06832	1.07141	1.06519	1.06535	124435	111342427000	7
2017.03.14	1.06533	1.06624	1.05995	1.06077	114250	106060057000	0
2017.03.15	1.06077	1.07397	1.06042	1.07360	130081	112206709000	7
2017.03.16	1.07359	1.07738	1.07053	1.07715	139451	120738975000	0
2017.03.17	1.07715	1.07821	1.07272	1.07362	114154	104154429000	0
2017.03.20	1.07384	1.07770	1.07249	1.07363	97003	84523211000	7
2017.03.21	1.07363	1.08190	1.07189	1.08060	129951	116244520000	7
2017.03.22	1.08061	1.08245	1.07755	1.07919	127134	110369645000	0
2017.03.23	1.07919	1.08047	1.07677	1.07822	119707	107980394000	0
2017.03.24	1.07821	1.08178	1.07600	1.07957	110958	100135223000	7
2017.03.27	1.08316	1.09057	1.08266	1.08638	115047	97826696000	0
2017.03.28	1.08637	1.08723	1.07985	1.08123	101690	96475270000	7
2017.03.29	1.08117	1.08263	1.07396	1.07640	110785	100452985000	0
2017.03.30	1.07647	1.07695	1.06717	1.06740	109951	106763506000	0
2017.03.31	1.06742	1.07017	1.06462	1.06462	111341	106169950000	7
2017.04.03	1.06591	1.06807	1.06421	1.06683	95896	94785980000	7
2017.04.04	1.06690	1.06770	1.06354	1.06720	90474	86249557000	7
2017.04.05	1.06710	1.06887	1.06345	1.06624	101806	93236041000	0
2017.04.06	1.06611	1.06838	1.06287	1.06434	102924	97219376000	0
2017.04.07	1.06425	1.06664	1.05804	1.05884	121252	114542638000	7
2017.04.10	1.05860	1.06063	1.05695	1.05947	85374	79191654000	7
2017.04.11	1.05935	1.06299	1.05783	1.06037	91908	86127361000	7
2017.04.12	1.06034	1.06749	1.05886	1.06633	97739	88365317000	7
2017.04.13	1.06639	1.06773	1.06089	1.06122	96747	95979234000	0
2017.04.14	1.06116	1.06294	1.06056	1.06096	56440	45221840000	0
2017.04.17	1.06102	1.06701	1.06025	1.06411	66325	67532222000	0
2017.04.18	1.06415	1.07357	1.06365	1.07302	104650	103931995000	7
2017.04.19	1.07279	1.07366	1.06995	1.07094	88867	87307347000	7
2017.04.20	1.07089	1.07773	1.07073	1.07161	89234	88524457000	0
2017.04.21	1.07160	1.07378	1.06820	1.07266	87727	86082253000	0
2017.04.24	1.09047	1.09061	1.08205	1.08667	127035	103386023000	0
2017.04.25	1.08668	1.09497	1.08511	1.09245	98577	90073692000	0
2017.04.26	1.09243	1.09506	1.08554	1.09033	114756	109146940000	7
2017.04.27	1.09024	1.09325	1.08514	1.08720	107815	99620837000	0
2017.04.28	1.08702	1.09471	1.08567	1.08921	104029	93087443000	0
2017.05.01	1.09086	1.09234	1.08838	1.08985	61763	64751866000	0
2017.05.02	1.08970	1.09328	1.08878	1.09317	88672	84328787000	0
2017.05.03	1.09276	1.09365	1.08825	1.08839	99328	94948140000	0
2017.05.04	1.08847	1.09869	1.08745	1.09837	120420	113647146000	0
2017.05.05	1.09837	1.09988	1.09476	1.09863	110899	96806407000	7
2017.05.08	1.10160	1.10176	1.09159	1.09236	114797	102473447000	0
2017.05.09	1.09234	1.09331	1.08631	1.08729	113893	113434621000	0
2017.05.10	1.08728	1.08979	1.08530	1.08672	106932	106928918000	0
2017.05.11	1.08671	1.08927	1.08387	1.08611	102157	103268621000	0
2017.05.12	1.08611	1.09341	1.08553	1.09268	100190	98124945000	0
2017.05.15	1.09318	1.09892	1.09222	1.09748	93364	88872571000	0
2017.05.16	1.09747	1.10970	1.09730	1.10825	114885	109665007000	0
2017.05.17	1.10823	1.11618	1.10792	1.11583	138429	133803911000	0
2017.05.18	1.11583	1.11716	1.10755	1.11027	166368	165624306000	0
2017.05.19	1.11025	1.12115	1.10957	1.11740	116792	115394091000	0
2017.05.22	1.11984	1.12631	1.11611	1.12371	109234	102022540000	0
