<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1.20088	1.20812	1.20007	1.20579	92779	0	1
2018.01.03	1.20579	1.20661	1.20010	1.20142	100595	0	1
2018.01.04	1.20142	1.20889	1.20043	1.20678	109715	0	1
2018.01.05	1.20678	1.20828	1.20206	1.20298	113628	0	1
2018.01.08	1.20268	1.20523	1.19556	1.19669	88921	0	1
2018.01.09	1.19669	1.19756	1.19155	1.19364	100787	0	1
2018.01.10	1.19364	1.20181	1.19232	1.19474	151752	0	1
2018.01.11	1.19474	1.20588	1.19293	1.20314	155197	0	1
2018.01.12	1.20314	1.22185	1.20308	1.22000	189447	0	1
2018.01.15	1.21932	1.22965	1.21875	1.22626	155933	0	1
2018.01.16	1.22626	1.22834	1.21951	1.22595	164847	0	1
2018.01.17	1.22595	1.23231	1.21769	1.21843	204183	0	1
2018.01.18	1.21843	1.22648	1.21652	1.22369	167647	0	1
2018.01.19	1.22369	1.22954	1.22149	1.22224	160024	0	1
2018.01.22	1.22698	1.22708	1.22139	1.22615	129818	0	1
2018.01.23	1.22615	1.23062	1.22230	1.22983	147486	0	1
2018.01.24	1.22979	1.24149	1.22912	1.24070	185845	0	1
2018.01.25	1.24070	1.25378	1.23638	1.23926	308719	0	1
2018.01.26	1.23926	1.24938	1.23699	1.24264	233580	0	0
2018.01.29	1.24259	1.24321	1.23368	1.23813	184146	0	1
2018.01.30	1.23813	1.24540	1.23348	1.24021	176386	0	1
2018.01.31	1.24017	1.24748	1.23870	1.24132	208308	0	1
2018.02.01	1.24132	1.25220	1.23854	1.25078	185833	0	1
2018.02.02	1.25073	1.25181	1.24091	1.24560	196693	0	1
2018.02.05	1.24344	1.24749	1.23625	1.23665	212883	0	1
2018.02.06	1.23658	1.24346	1.23139	1.23768	298127	0	1
2018.02.07	1.23768	1.24060	1.22457	1.22627	180783	0	1
2018.02.08	1.22620	1.22948	1.22121	1.22467	237241	0	1
2018.02.09	1.22467	1.22873	1.22054	1.22498	231451	0	1
2018.02.12	1.22442	1.22973	1.22350	1.22906	136792	0	1
2018.02.13	1.22906	1.23710	1.22845	1.23501	138960	0	1
2018.02.14	1.23497	1.24651	1.22758	1.24494	197638	0	1
2018.02.15	1.24491	1.25102	1.24480	1.25062	165673	0	1
2018.02.16	1.25062	1.25554	1.23934	1.24105	171908	0	1
2018.02.19	1.24008	1.24352	1.23691	1.24070	118021	0	1
2018.02.20	1.24068	1.24123	1.23196	1.23367	150082	0	1
2018.02.21	1.23367	1.23598	1.22810	1.22822	190080	0	1
2018.02.22	1.22819	1.23521	1.22595	1.23292	150020	0	1
2018.02.23	1.23292	1.23369	1.22798	1.22935	117594	0	1
2018.02.26	1.22930	1.23550	1.22779	1.23167	127575	0	1
2018.02.27	1.23167	1.23464	1.22215	1.22325	154107	0	1
2018.02.28	1.22325	1.22416	1.21878	1.21929	141018	0	1
2018.03.01	1.21924	1.22733	1.21546	1.22651	172658	0	1
2018.03.02	1.22651	1.23359	1.22514	1.23184	153468	0	1
2018.03.05	1.23324	1.23645	1.22688	1.23353	159863	0	1
2018.03.06	1.23353	1.24201	1.23280	1.24033	148585	0	1
2018.03.07	1.24033	1.24448	1.23848	1.24107	150782	0	1
2018.03.08	1.24107	1.24462	1.22979	1.23103	175052	0	1
2018.03.09	1.23102	1.23342	1.22730	1.23053	152115	0	1
2018.03.12	1.23096	1.23456	1.22903	1.23346	103057	0	1
2018.03.13	1.23344	1.24074	1.23145	1.23911	134095	0	1
2018.03.14	1.23911	1.24125	1.23471	1.23680	132189	0	1
2018.03.15	1.23678	1.23836	1.23003	1.23044	139664	0	1
2018.03.16	1.23046	1.23362	1.22600	1.22889	110331	0	1
2018.03.19	1.22872	1.23588	1.22580	1.23341	117506	0	1
2018.03.20	1.23341	1.23547	1.22396	1.22435	111873	0	1
2018.03.21	1.22435	1.23498	1.22417	1.23385	145129	0	1
2018.03.22	1.23385	1.23885	1.22850	1.23056	150537	0	1
2018.03.23	1.23056	1.23733	1.23056	1.23514	125138	0	1
2018.03.26	1.23497	1.24615	1.23485	1.24431	111194	0	1
2018.03.27	1.24422	1.24763	1.23719	1.24020	124710	0	1
2018.03.28	1.24017	1.24216	1.23000	1.23073	123308	0	1
2018.03.29	1.23079	1.23358	1.22839	1.23001	115697	0	1
2018.03.30	1.22999	1.23304	1.22866	1.23218	54735	0	1
2018.04.02	1.23192	1.23450	1.22811	1.23016	65570	0	1
2018.04.03	1.23018	1.23360	1.22536	1.22699	106695	0	1
2018.04.04	1.22699	1.23147	1.22570	1.22777	67672	0	1
2018.04.05	1.22774	1.22903	1.22183	1.22401	66831	0	1
2018.04.06	1.22394	1.22908	1.22149	1.22809	99875	0	1
2018.04.09	1.22794	1.23309	1.22602	1.23204	77883	0	1
2018.04.10	1.23184	1.23776	1.23027	1.23557	86437	0	1
2018.04.11	1.23550	1.23964	1.23469	1.23669	77839	0	1
2018.04.12	1.23657	1.23798	1.22992	1.23261	80071	0	1
2018.04.13	1.23255	1.23459	1.23070	1.23290	63714	0	1
2018.04.16	1.23289	1.23945	1.23231	1.23792	57512	0	1
2018.04.17	1.23783	1.24137	1.23360	1.23692	59231	0	1
2018.04.18	1.23689	1.23971	1.23415	1.23734	70339	0	1
2018.04.19	1.23726	1.24002	1.23291	1.23453	80260	0	1
2018.04.20	1.23446	1.23529	1.22496	1.22873	72329	0	1
2018.04.23	1.22695	1.22895	1.21975	1.22083	74477	0	1
2018.04.24	1.22083	1.22450	1.21816	1.22318	80163	0	1
2018.04.25	1.22311	1.22387	1.21600	1.21605	78942	0	1
2018.04.26	1.21599	1.22099	1.20963	1.21031	116739	0	1
2018.04.27	1.21031	1.21329	1.20553	1.21293	90007	0	1
2018.04.30	1.21248	1.21387	1.20641	1.20774	87762	0	1
2018.05.01	1.20772	1.20840	1.19814	1.19921	78079	0	1
2018.05.02	1.19921	1.20316	1.19379	1.19503	128842	0	1
2018.05.03	1.19503	1.20088	1.19477	1.19878	121867	0	1
2018.05.04	1.19878	1.19954	1.19108	1.19609	98396	0	1
2018.05.07	1.19507	1.19780	1.18975	1.19218	65117	0	1
2018.05.08	1.19218	1.19387	1.18380	1.18640	101635	0	1
2018.05.09	1.18638	1.18969	1.18226	1.18501	92730	0	1
2018.05.10	1.18502	1.19465	1.18429	1.19149	122785	0	1
2018.05.11	1.19145	1.19679	1.18911	1.19417	85555	0	1
2018.05.14	1.19418	1.19961	1.19260	1.19262	80250	0	1
2018.05.15	1.19261	1.19385	1.18201	1.18374	110146	0	1
2018.05.16	1.18374	1.18543	1.17631	1.18069	130008	0	1
2018.05.17	1.18065	1.18374	1.17763	1.17931	115750	0	1
2018.05.18	1.17938	1.18221	1.17498	1.17705	87408	0	1
2018.05.21	1.17696	1.17957	1.17166	1.17911	78020	0	1
